,Country,Deaths,Death rate*,Total Cases,New Cases  0  10  100  1k  10k  **,Unnamed: 5
0,US,1012833,308.6,87030788,,
1,Brazil,672033,318.4,32535923,,
2,India,525242,38.4,43531650,,
3,Russia,373595,258.8,18173480,,
4,Mexico,325793,255.4,6093835,,
5,Peru,213579,657.0,3640061,,
6,UK,177890,266.2,22232377,,
7,Italy,168604,279.6,18805756,,
8,Indonesia,156758,57.9,6095351,,
9,France,146406,218.3,30584880,,
10,Iran,141404,170.5,7240564,,
11,Germany,141397,170.1,28542484,,
12,Colombia,140070,278.3,6175181,,
13,Argentina,129109,287.3,9394326,,
14,Poland,116435,306.6,6016526,,
15,Ukraine,112459,253.4,5040518,,
16,Spain,108111,229.6,12818184,,
17,South Africa,101812,173.9,3995291,,
18,Turkey,99057,118.7,15180444,,
19,Romania,65755,339.7,2927187,,
20,Philippines,60602,56.1,3709386,,
21,Chile,58617,309.3,4030267,,
22,Hungary,46647,477.5,1928125,,
23,Vietnam,43088,44.7,10749324,,
24,Canada,42001,111.7,3958155,,
25,Czech Republic,40324,377.9,3936870,,
26,Bulgaria,37260,534.1,1174216,,
27,Malaysia,35784,112.0,4575809,,
28,Ecuador,35745,205.7,913798,,
29,Belgium,31952,278.2,4265296,,
30,Japan,31328,24.8,9405007,,
31,Thailand,30736,44.1,4534017,,
32,Pakistan,30403,14.0,1539275,,
33,Greece,30327,283.0,3729199,,
34,Bangladesh,29174,17.9,1980974,,
35,Tunisia,28691,245.3,1052180,,
36,Iraq,25247,64.2,2359755,,
37,Egypt,24723,24.6,515645,,
38,South Korea,24576,47.5,18413997,,
39,Portugal,24149,235.2,5171236,,
40,Netherlands,22383,129.1,8203898,,
41,Bolivia,21958,190.7,931955,,
42,Slovakia,20147,369.4,2551116,,
43,Austria,20068,226.1,4499570,,
44,Myanmar,19434,36.0,613659,,
45,Sweden,19124,185.9,2519199,,
46,Kazakhstan,19018,102.7,1396584,,
47,Paraguay,18994,269.6,660841,,
48,Guatemala,18616,112.1,921146,,
49,Georgia,16841,452.7,1660429,,
50,Sri Lanka,16522,75.8,664181,,
51,Serbia,16132,232.3,2033180,,
52,Morocco,16120,44.2,1226246,,
53,Croatia,16082,395.4,1151523,,
54,Bosnia and Herzegovina,15807,478.9,379041,,
55,China,14633,1.0,2144566,,
56,Jordan,14068,139.3,1700526,,
57,Switzerland,13833,161.3,3759730,,
58,Nepal,11952,41.8,979835,,
59,Moldova,11567,435.2,520321,,
60,Israel,10984,121.3,4391275,,
61,Honduras,10906,111.9,427718,,
62,Lebanon,10469,152.7,1116798,,
63,Australia,10085,39.8,8291399,,
64,Azerbaijan,9717,96.9,793388,,
65,North Macedonia,9327,447.7,314501,,
66,Saudi Arabia,9211,26.9,797374,,
67,Lithuania,9175,329.2,1162184,,
68,Armenia,8629,291.7,423417,,
69,Cuba,8529,75.3,1106167,,
70,Costa Rica,8525,168.9,904934,,
71,Panama,8373,197.2,925254,,
72,Afghanistan,7725,20.3,182793,,
73,Ethiopia,7542,6.7,489502,,
74,Ireland,7499,151.8,1600614,,
75,Uruguay,7331,211.8,957629,,
76,Taiwan,7025,29.5,3893643,,
77,Belarus,6978,73.7,982867,,
78,Algeria,6875,16.0,266173,,
79,Slovenia,6655,318.7,1041426,,
80,Denmark,6487,111.5,3177491,,
81,Libya,6430,94.9,502189,,
82,Latvia,5860,306.4,837182,,
83,Venezuela,5735,20.1,527074,,
84,Palestinian Territories,5662,120.8,662490,,
85,Kenya,5656,10.8,334551,,
86,Zimbabwe,5558,38.0,255726,,
87,Sudan,4952,11.6,62696,,
88,Finland,4875,88.3,1145610,,
89,Oman,4628,93.0,390244,,
90,Dominican Republic,4383,40.8,611581,,
91,El Salvador,4150,64.3,169646,,
92,Namibia,4065,163.0,169247,,
93,Trinidad and Tobago,4013,287.7,167495,,
94,Zambia,4007,22.4,326259,,
95,Uganda,3621,8.2,167979,,
96,Albania,3502,122.7,282690,,
97,Norway,3337,62.4,1448679,,
98,Syria,3150,18.5,55934,,
99,Nigeria,3144,1.6,257637,,
100,Jamaica,3144,106.6,143347,,
101,Kosovo,3140,175.0,229841,,
102,Cambodia,3056,18.5,136296,,
103,Kyrgyzstan,2991,46.3,201101,,
104,Botswana,2750,119.4,322769,,
105,Montenegro,2729,438.6,241190,,
106,Malawi,2646,14.2,86600,,
107,Estonia,2591,195.3,580114,,
108,Kuwait,2555,60.7,644451,,
109,United Arab Emirates,2319,23.7,952960,,
110,Mozambique,2212,7.3,228226,,
111,Mongolia,2179,67.6,928981,,
112,Yemen,2149,7.4,11832,,
113,Senegal,1968,12.1,86382,,
114,Cameroon,1931,7.5,120068,,
115,Angola,1900,6.0,101320,,
116,Uzbekistan,1637,4.9,241196,,
117,New Zealand,1534,31.2,1374535,,
118,Bahrain,1495,91.1,631562,,
119,Rwanda,1460,11.6,131270,,
120,Ghana,1452,4.8,166546,,
121,Singapore,1419,24.9,1473180,,
122,Eswatini,1416,123.3,73148,,
123,Madagascar,1401,5.2,65787,,
124,DR Congo,1375,1.6,91393,,
125,Suriname,1369,235.5,80864,,
126,Somalia,1361,8.8,26803,,
